Price,BBCA_Close,BBCA_High,BBCA_Low,BBCA_Open,BBCA_Volume,BBRI_Close,BBRI_High,BBRI_Low,BBRI_Open,BBRI_Volume,BMRI_Close,BMRI_High,BMRI_Low,BMRI_Open,BMRI_Volume,BBNI_Close,BBNI_High,BBNI_Low,BBNI_Open,BBNI_Volume,BBTN_Close,BBTN_High,BBTN_Low,BBTN_Open,BBTN_Volume
Ticker,BBCA_BBCA.JK,BBCA_BBCA.JK,BBCA_BBCA.JK,BBCA_BBCA.JK,BBCA_BBCA.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBTN_BBTN.JK,BBTN_BBTN.JK,BBTN_BBTN.JK,BBTN_BBTN.JK,BBTN_BBTN.JK
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-26,8193.7333984375,8405.033113583453,8193.7333984375,8381.555367456125,63199400,4271.83447265625,4493.240527641482,4271.83447265625,4493.240527641482,330618800,4926.99267578125,5056.650377775493,4926.99267578125,5013.431143777412,86348700,4274.5390625,4370.891377433401,4230.74255571209,4362.132076075819,77078100,1083.54541015625,1110.7473869802564,1074.478084548248,1106.2137241762553,12488200
2023-10-27,8170.25634765625,8264.167340158046,8170.25634765625,8193.7340957817,52450700,4341.29541015625,4384.708364257813,4289.1998652343755,4297.882456054687,129599800,4926.99267578125,4991.821526778372,4926.99267578125,4970.211909779331,90177000,4248.2607421875,4292.057244684278,4248.2607421875,4274.538643685567,39350600,1092.6126708984375,1101.679995968134,1079.0116832938927,1083.545345828741,7685100
2023-10-30,8311.1220703125,8311.1220703125,8170.255594544491,8170.255594544491,51958200,4341.29541015625,4363.001887207031,4315.247637695313,4323.9302285156255,108523700,4948.6025390625,4948.6025390625,4862.164066764465,4926.992920987991,81547000,4248.2607421875,4257.020042686856,4213.223540190077,4248.2607421875,34312600,1101.6800537109375,1101.6800537109375,1083.5454026210455,1092.6127281659915,5511800
2023-10-31,8217.2119140625,8287.64515904018,8193.734165736607,8264.167410714286,64907600,4306.56494140625,4341.295303836946,4306.56494140625,4323.930122621598,106760300,4905.38330078125,5056.650627237059,4883.773682716134,5013.431391106828,99449400,4195.705078125,4248.26088286143,4134.389972599165,4248.26088286143,62061200,1110.747314453125,1110.747314453125,1083.5453394052934,1097.1463269292092,7473700
2023-11-01,8076.34619140625,8240.690445301145,8076.34619140625,8217.21269474473,67027600,4193.69140625,4306.565087991718,4193.69140625,4271.834724378882,191567200,4883.7734375,4926.992671460177,4862.1638205199115,4926.992671460177,74281200,4221.98291015625,4318.335217234504,4195.7050082258165,4318.335217234504,58008400,1083.54541015625,1110.7473869802564,1074.478084548248,1110.7473869802564,8955300
2023-11-02,8311.1220703125,8358.077562235168,8193.733340505825,8193.733340505825,56050900,4341.29541015625,4406.414841308594,4263.152092773437,4289.1998652343755,208075400,5099.86962890625,5121.479245977886,4948.602309404793,4970.21192647643,115678200,4265.77978515625,4309.576292190709,4213.2239767149,4221.983278121792,61528700,1092.6126708984375,1115.280983572679,1083.545345828741,1083.545345828741,10661600
2023-11-03,8358.0791015625,8405.034602133075,8311.123600991925,8381.556851847788,60414100,4428.12109375,4493.240521599265,4363.001665900735,4363.001665900735,125504000,5035.04052734375,5164.698223326851,5035.04052734375,5121.478991332484,53379500,4283.29833984375,4327.09484638612,4274.539038535277,4300.816942460698,37333500,1088.0791015625,1101.680090332031,1083.5454386393228,1097.1464274088542,10516900
2023-11-06,8498.9443359375,8498.9443359375,8405.033348800069,8428.511095584427,84994200,4514.947265625,4514.947265625,4428.121356670673,4428.121356670673,122333800,5121.4794921875,5121.4794921875,5056.6506378560125,5099.869874077004,58266100,4353.37255859375,4379.650461361922,4327.094655825578,4362.131859516474,54278500,1101.6800537109375,1110.7473792558835,1088.0790653935185,1097.1463909384645,10759300
2023-11-07,8428.5107421875,8475.46623378743,8358.077504787605,8451.988487987464,60648200,4558.3603515625,4580.066829427084,4493.24091796875,4536.653873697917,137039400,5078.26025390625,5164.698726313165,5013.431399601063,5143.089108211436,56161300,4327.0947265625,4353.372629760248,4300.816823364752,4353.372629760248,38213600,1097.1463623046875,1110.7473502671423,1092.612699650536,1106.2136876129907,8227700
2023-11-08,8451.9892578125,8451.9892578125,8358.078266059027,8405.033761935763,31829300,4536.6533203125,4558.359795529306,4493.240369878888,4514.946845095694,86713700,5056.650390625,5056.650390625,4948.602305355235,4991.821539463142,63442400,4274.5390625,4335.8541720030735,4257.020459784836,4327.094870645492,30691100,1097.1463623046875,1101.680024958839,1088.0790369963843,1097.1463623046875,7750200
2023-11-09,8451.9892578125,8498.944753689235,8358.078266059027,8358.078266059027,46076800,4514.947265625,4580.066697340745,4514.947265625,4536.653742863582,66236400,5078.26025390625,5099.869872007978,5013.431399601063,5035.0410177027925,45026200,4257.0205078125,4335.854220920139,4257.0205078125,4274.539110725309,32999400,1097.1463623046875,1106.2136876129907,1092.612699650536,1092.612699650536,4511000
2023-11-10,8287.6455078125,8451.989753009915,8287.6455078125,8405.034254382083,50754600,4406.4150390625,4471.534473137315,4384.708561037562,4471.534473137315,113811900,4991.82177734375,5056.650631594967,4991.82177734375,5056.650631594967,59611500,4257.0205078125,4265.7798092689045,4221.983301986883,4257.0205078125,37753900,1101.6800537109375,1106.2137164834105,1092.6127281659915,1101.6800537109375,5973800
2023-11-13,8334.6005859375,8381.556082196303,8311.122837808098,8334.6005859375,20827700,4363.001953125,4449.827862639925,4363.001953125,4406.414907882462,63126900,5035.04052734375,5056.650143340933,5013.430911346566,5056.650143340933,17444600,4283.29833984375,4300.816942460698,4265.779737226802,4283.29833984375,17199700,1097.1463623046875,1106.2136876129907,1088.0790369963843,1097.1463623046875,5031900
2023-11-14,8381.5556640625,8405.033411020659,8334.600170146183,8358.077917104341,37195700,4406.4150390625,4449.827995112377,4384.708561037562,4406.4150390625,85419500,5035.04052734375,5099.8693753353,5013.430911346566,5035.04052734375,50587800,4274.5390625,4327.094870645492,4274.5390625,4300.8169665727455,27961100,1092.6126708984375,1101.679995968134,1092.6126708984375,1097.1463334332857,2788200
2023-11-15,8498.9443359375,8498.9443359375,8405.033348800069,8428.511095584427,84977900,4558.3603515625,4601.773307291667,4493.24091796875,4514.947395833334,193790400,5121.4794921875,5164.698728408492,5078.260255966508,5099.869874077004,74255700,4362.13232421875,4401.549182570124,4344.613720507028,4353.373022362889,93350800,1128.8819580078125,1142.4829454536898,1110.7473080799762,1128.8819580078125,27722600
